Distrito,Cantidad
Lima,13948
Los Olivos,13090
San Juan de Lurigancho,12159
San Martín de Porres,9093
Comas,9051
Callao,8027
Villa María del Triunfo,7859
La Victoria,7353
Chorrillos,6958
Ate,6630
Santiago de Surco,6380
Independencia,6186
San Juan de Miraflores,5402
Carabayllo,4601
San Borja,4391
El Agustino,4305
Puente Piedra,4290
Villa El Salvador,4143
Rímac,4031
Jesús María,3732
Ventanilla,3594
Miraflores,2715
Breña,2493
Lurigancho,2334
San Isidro,2225
San Luis,2191
Barranco,2021
Magdalena Vieja,2002
Santa Anita,1824
La Molina,1796
Pachacamac,1763
Lurín,1476
Bellavista,1396
Magdalena del Mar,1383
Lince,1340
San Miguel,1243
Surquillo,1016
La Perla,841
Chaclacayo,651
Ancón,530
Mi Perú 1/,494
Carmen de La Legua Reynoso,449
Punta Hermosa,320
Cieneguilla,253
Pucusana,195
Santa Rosa,177
San Bartolo,152
La Punta,147
Punta Negra,114
Santa María del Mar,2
