Distrito,Empresas_por_km2
La Victoria,6456.4
Surquillo,4130.9
Lince,3996.4
Cercado de Lima,3502.9
Breña,3400.6
Jesús María,2983.4
Miraflores,2838.1
San Luis,2565.9
Magdalena del Mar,2422.7
Pueblo Libre,2255.0
La Perla,1801.8
Los Olivos,1801.3
San Isidro,1751.8
Santa Anita,1732.7
San Borja,1649.0
Bellavista,1495.0
Barranco,1466.7
Carmen de la Legua Reynoso,1450.0
San Miguel,1437.3
San Martín de Porres,1397.6
Santiago de Surco,1164.8
Rímac,1145.7
San Juan de Miraflores,1114.5
Independencia,1019.1
El Agustino,879.6
Comas,735.3
Villa El Salvador,713.1
Callao,689.5
Chorrillos,531.9
Ate,525.6
San Juan de Lurigancho,440.3
Villa María del Triunfo,297.9
La Molina,246.0
Puente Piedra,223.7
Ventanilla,174.8
Chaclacayo,80.8
Lurigancho,44.2
Carabayllo,40.5
Lurín,31.7
La Punta,28.0
Pachacamac,27.1
Santa Rosa,26.5
Pucusana,17.8
San Bartolo,11.8
Santa María del Mar,7.6
Ancón,7.0
Cieneguilla,6.0
Punta Hermosa,4.8
Punta Negra,3.2
