Distrito,Km2
Carabayllo,346.9
Ancón,299.2
Cieneguilla,240.3
Lurigancho-Chosica,236.5
Lurín,181.1
Pachacámac,160.2
San Juan de Lurigancho,131.3
Punta Negra,130.5
Punta Hermosa,119.5
Ate,77.7
Puente Piedra,71.2
Villa María del Triunfo,70.6
La Molina,65.8
Comas,48.8
San Bartolo,45.0
Chaclacayo,39.5
Chorrillos,38.9
Pucusana,38.7
San Martín de Porres,36.9
Villa El Salvador,35.5
Santiago de Surco,34.8
San Juan de Miraflores,24.0
Cercado de Lima,22.0
Santa Rosa,21.5
Los Olivos,18.3
Independencia,14.6
El Agustino,12.5
Rímac,11.9
San Isidro,11.1
Santa Anita,10.7
San Miguel,10.7
San Borja,10.0
Santa María del Mar,9.8
Miraflores,9.6
La Victoria,8.7
Jesús María,4.6
Pueblo Libre,4.4
Magdalena del Mar,3.6
Surquillo,3.5
San Luis,3.5
Barranco,3.3
Breña,3.2
Lince,3.0
